result,question_id,question,A,B,C,D,answer,correct,model_name
B,4048,Which list contains only nonliving things?,"coins, snakes, birds","water, rocks, sunlight","rubber ball, plants, house","soil, fish, air",B,True,Z
A,4049,Which type of energy conversion occurs in a flashlight?,chemical to light,mechanical to light,electrical to chemical,mechanical to chemical,A,True,Z
C,4050,"Rocks that contain fragments of bones, shells, and plant remains are most likely",crystals.,igneous.,sedimentary.,metamorphic.,C,True,Z
A,4051,Which reaction is endothermic?,cold pack,coal burning,striking a match,charcoal grill fire,A,True,Z
C,4052,Which property of water can cause a rock to break apart?,Water boiling at 100°C.,Water losing energy slowly.,Water expanding as it freezes.,Water having a high surface tension.,C,True,Z
D,4053,"With a microscope, you see that an object has a cell wall, a chloroplast, and a nucleus. What is being observed?",a plant cell,an animal cell,a male organism,a female organism,A,False,Z
B,4055,Which part of an atom is involved in chemical reactions?,nucleus and its particles,negatively-charged particles,neutrally-charged particles,positively-charged particles,B,True,Z
C,4056,Which tool is best used to collect information about the weather?,ruler,stopwatch,thermometer,collecting net,C,True,Z
D,4057,Which of these characteristics best helps scientists classify organisms?,size,color,gender,structure,D,True,Z
B,4058,Which resource is most likely found in large amounts in forest ecosystems?,iron,wood,plastic,petroleum,B,True,Z
A,4059,Which of the following best describes a role of mushrooms in ecosystems?,capturing energy from sunlight,consuming living plant material,taking energy from animal hosts,breaking down dead plant material,D,False,Z
D,4061,"In the life cycle of a fly, which stage comes after the larval stage?",egg,adult,nymph,pupa,D,True,Z
D,4062,In which example could a thermometer be used to show that heat energy is being transferred?,A piano is played by striking the keys.,A shovel is used to move dirt from one place to another.,A ball is thrown into the air.,A stove is used to boil water in a pan.,D,True,Z
C,4063,What is the most likely function of a turtle's hard shell?,convert energy,increase speed,provide protection,allow for reproduction,C,True,Z
B,4064,What is the main source of energy that causes water to evaporate from the surface of Earth?,lightning,sun,gravity,wind,B,True,Z
A,4065,Which terms can be used to describe the properties of both a wave and a particle of light?,charge and volume,frequency and mass,speed and frequency,frequency and density,C,False,Z
A,4067,"The yellow-throated longclaw is a bird that lives on the dry savanna of Africa. It looks almost exactly like another bird, the western meadowlark of North America. Although the birds look very similar, they are not even in the same taxonomic family. Scientists think the birds look alike because the two species developed under similar environmental pressures, even though they developed thousands of miles apart. Which process does their development demonstrate?",sexual selection,disruptive selection,divergent evolution,convergent evolution,D,False,Z
D,4068,The reaction that releases energy for use by the cell occurs in which site?,Golgi apparatus,endoplasmic reticulum,cytoplasmic membrane,mitochondrial membrane,D,True,Z
B,4069,Why do doctors suggest that people get a flu vaccine each year?,Viruses replicate more rapidly over time.,Viruses can mutate from year to year.,Vaccines are absorbed by the body after a year.,Vaccines get stronger over time.,B,True,Z
B,4070,Which of the following events involves a consumer and producer in a food chain?,A cat eats a mouse.,A deer eats a leaf.,A hawk eats a mouse.,A snake eats a rat.,B,True,Z
B,4071,The change from day to night on Earth can be explained by,the movement of the Sun.,the rotation of Earth.,the movement of the Moon.,the tilt of Earth.,B,True,Z
A,4072,Which part of a bicycle BEST moves in a circle?,Seat,Frame,Foot pedal,Kickstand,C,False,Z
B,4073,"When animals use energy, what is always produced?",sugar,heat,oxygen,starch,B,True,Z
B,4074,Which type of rock is formed when hot lava cools?,coal,igneous,limestone,metamorphic,B,True,Z
A,4075,Which environmental factor would most likely prevent an orange tree from surviving in the desert?,the lack of moisture,the high levels of heat,the extra amount of wind,the low levels of sunlight,A,True,Z
B,4076,"After a rainstorm, a big pile of rocks blocks part of a mountain road. Which event most likely caused the rocks to move onto the road?",a tsunami,a blizzard,a landslide,a hurricane,C,False,Z
C,4077,What would be the result of adding one proton to an atom?,one electron would be added,the atomic number would change,the total mass of the atom would decrease,the electrical charge would become neutral,B,False,Z
C,4079,In what section of Earth do earthquakes happen?,crust,mantle,inner core,outer core,A,False,Z
B,4080,A complete fossil has been found of a type of bird that cannot be identified. What can most likely be determined about the bird from the fossil?,The bird lived for a very short time.,The bird lived in a dry environment.,The bird existed at one time but is now extinct.,The bird was not well preserved during the process of fossilization.,C,False,Z
D,4081,"When large areas of the rainforests are cleared and burned, climate can be affected. Which best explains how rainforest destruction can contribute to the greenhouse effect?",by threatening native plants and animals,by increasing the rate of soil erosion,by increasing the water levels in oceans,by releasing carbon into the atmosphere,D,True,Z
D,4082,Which information is used in a station model?,yearly average precipitation,daily average barometric pressure,number of lightning strikes,wind direction in a particular point and time,D,True,Z
B,4083,Which part of a plant is most responsible for using energy from the Sun to produce food for the plant?,flower,leaf,root,stem,B,True,Z
C,4084,"Which natural formation is the best example of the result of both constructive and destructive forces such as weathering, erosion, and deposition of sediment?",The Mid-Atlantic Ridge,The Grand Canyon,The Mojave Desert,The Himalayan Mountains,B,False,Z
C,4085,Which characteristic helps a fox find food?,sense of smell,thick fur,long tail,pointed teeth,A,False,Z
